arrondissement_clean,format_1m2,format_2m2,total_panels,total_area,area_km2,panel_density,area_density,infrastructure_score
19,0.0,33.0,33.0,66.0,6.8,4.852941176470589,9.705882352941178,34.455882352941174
20,9.0,26.0,35.0,61.0,6.0,5.833333333333333,10.166666666666666,34.05
13,3.0,23.0,26.0,49.0,7.1,3.6619718309859155,6.901408450704226,26.198591549295777
11,0.0,22.0,22.0,44.0,3.7,5.945945945945946,11.891891891891891,23.783783783783782
18,0.0,20.0,20.0,40.0,6.0,3.3333333333333335,6.666666666666667,21.0
12,8.0,14.0,22.0,36.0,6.4,3.4375,5.625,20.63125
17,0.0,18.0,18.0,36.0,5.7,3.1578947368421053,6.315789473684211,18.94736842105263
14,0.0,17.0,17.0,34.0,5.6,3.035714285714286,6.071428571428572,17.910714285714285
15,0.0,15.0,15.0,30.0,8.5,1.7647058823529411,3.5294117647058822,15.529411764705882
16,0.0,13.0,13.0,26.0,7.9,1.6455696202531644,3.291139240506329,13.49367088607595
10,0.0,10.0,10.0,20.0,2.9,3.4482758620689657,6.8965517241379315,11.03448275862069
6,10.0,2.0,12.0,14.0,2.2,5.454545454545454,6.363636363636363,10.636363636363637
5,7.0,4.0,11.0,15.0,2.5,4.4,6.0,10.22
9,0.0,7.0,7.0,14.0,2.2,3.1818181818181817,6.363636363636363,7.954545454545454
4,1.0,5.0,6.0,11.0,1.6,3.75,6.875,6.825
8,0.0,6.0,6.0,12.0,3.9,1.5384615384615385,3.076923076923077,6.461538461538462
7,0.0,6.0,6.0,12.0,4.1,1.4634146341463417,2.9268292682926833,6.439024390243903
1,1.0,3.0,4.0,7.0,1.8,2.2222222222222223,3.888888888888889,4.366666666666667
2,0.0,2.0,2.0,4.0,1.0,2.0,4.0,2.6
3,2.0,0.0,2.0,2.0,1.2,1.6666666666666667,1.6666666666666667,1.9
