location,precision,arrondissement,format_1m2,format_2m2,coordinates,geometry,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area,latitude,longitude
"42, rue Madame",Ecole élémentaire,75006.0,1.0,0.0,"{'lon': 2.331602, 'lat': 48.848934}","{'lon': 2.331602, 'lat': 48.848934}",75006.0,75006,6,1.0,1.0,48.848934,2.331602
"31, rue Pierre Semard",Panneau A,75009.0,0.0,1.0,"{'lon': 2.348291, 'lat': 48.879105}","{'lon': 2.348291, 'lat': 48.879105}",75009.0,75009,9,1.0,2.0,48.879105,2.348291
"24, rue Saint Sébastien",,75011.0,0.0,1.0,"{'lon': 2.369434, 'lat': 48.861114}","{'lon': 2.369434, 'lat': 48.861114}",75011.0,75011,11,1.0,2.0,48.861114,2.369434
"132, rue d Alésia",,75014.0,0.0,1.0,"{'lon': 2.319421, 'lat': 48.830516}","{'lon': 2.319421, 'lat': 48.830516}",75014.0,75014,14,1.0,2.0,48.830516,2.319421
"4-6, rue du Bessin",Angle rue du Bessin et rue Castagnary,75015.0,0.0,1.0,"{'lon': 2.305727, 'lat': 48.831051}","{'lon': 2.305727, 'lat': 48.831051}",75015.0,75015,15,1.0,2.0,48.831051,2.305727
"6, avenue de la porte de Clichy",,75017.0,0.0,1.0,"{'lon': 2.313008, 'lat': 48.894694}","{'lon': 2.313008, 'lat': 48.894694}",75017.0,75017,17,1.0,2.0,48.894694,2.313008
"2, rue Ronsard",,75018.0,0.0,1.0,"{'lon': 2.344249, 'lat': 48.884999}","{'lon': 2.344249, 'lat': 48.884999}",75018.0,75018,18,1.0,2.0,48.884999,2.344249
"1, rue Pihet",,75011.0,0.0,1.0,"{'lon': 2.373882, 'lat': 48.863455}","{'lon': 2.373882, 'lat': 48.863455}",75011.0,75011,11,1.0,2.0,48.863455,2.373882
"35, rue de l Evangile",,75018.0,0.0,1.0,"{'lon': 2.365278, 'lat': 48.894071}","{'lon': 2.365278, 'lat': 48.894071}",75018.0,75018,18,1.0,2.0,48.894071,2.365278
"97, rue Mouffetard",Ecole maternelle,75005.0,1.0,0.0,"{'lon': 2.349685, 'lat': 48.84134}","{'lon': 2.349685, 'lat': 48.84134}",75005.0,75005,5,1.0,1.0,48.84134,2.349685
"6, rue Littré",Groupe scolaire,75006.0,1.0,0.0,"{'lon': 2.323705, 'lat': 48.845747}","{'lon': 2.323705, 'lat': 48.845747}",75006.0,75006,6,1.0,1.0,48.845747,2.323705
rue Lachelier,place port au prince,75013.0,0.0,1.0,"{'lon': 2.365939, 'lat': 48.819702}","{'lon': 2.365939, 'lat': 48.819702}",75013.0,75013,13,1.0,2.0,48.819702,2.365939
"13, rue Vulpian",,75013.0,0.0,1.0,"{'lon': 2.34649, 'lat': 48.83154}","{'lon': 2.34649, 'lat': 48.83154}",75013.0,75013,13,1.0,2.0,48.83154,2.34649
"59/59bis, rue de Romainville",Ecole maternelle Romainville,75019.0,0.0,1.0,"{'lon': 2.403386, 'lat': 48.877388}","{'lon': 2.403386, 'lat': 48.877388}",75019.0,75019,19,1.0,2.0,48.877388,2.403386
