hex_id,lat,lon,opportunity_score,opportunity_category,bike_records,pedestrian_zones,total_panels,activity_score,infrastructure_gap,zone_quality,rush_hour_ratio,opportunity_rank,has_infrastructure
hex_1_16,48.81933,2.3487499999999977,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_1_17,48.81933,2.3562499999999975,0.65,High,0.0,3.0,0.0,0.375,1.0,1.0,0.0,5.5,0
hex_1_18,48.81933,2.3637499999999974,0.51,Medium,0.0,1.0,2.0,0.325,0.6,1.0,0.0,94.0,1
hex_2_10,48.823660000000004,2.3074999999999983,0.25,Low,0.0,1.0,1.0,0.024999999999999998,0.8,0.0,0.0,213.5,1
hex_2_13,48.823660000000004,2.329999999999998,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_2_15,48.823660000000004,2.3449999999999975,0.25,Low,0.0,1.0,1.0,0.024999999999999998,0.8,0.0,0.0,213.5,1
hex_2_16,48.823660000000004,2.3524999999999974,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_2_17,48.823660000000004,2.359999999999997,0.19999999999999998,Very Low,0.0,2.0,2.0,0.049999999999999996,0.6,0.0,0.0,219.5,1
hex_2_18,48.823660000000004,2.367499999999997,0.38,Low,0.0,4.0,2.0,0.25,0.6,0.5,0.0,148.0,1
hex_2_25,48.823660000000004,2.419999999999996,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_3_10,48.82799000000001,2.3037499999999986,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_3_11,48.82799000000001,2.3112499999999985,0.51,Medium,0.0,1.0,2.0,0.325,0.6,1.0,0.0,94.0,1
hex_3_14,48.82799000000001,2.333749999999998,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_3_16,48.82799000000001,2.3487499999999977,0.5800000000000001,Medium,0.0,2.0,1.0,0.35,0.8,1.0,0.0,51.0,1
hex_3_17,48.82799000000001,2.3562499999999975,0.3,Low,0.0,4.0,2.0,0.175,0.6,0.25,0.0,201.0,1
hex_3_18,48.82799000000001,2.3637499999999974,0.52,Medium,0.0,2.0,2.0,0.35,0.6,1.0,0.0,86.0,1
hex_3_19,48.82799000000001,2.371249999999997,0.5433333333333333,Medium,0.0,3.0,0.0,0.27499999999999997,1.0,0.6666666666666666,0.0,77.0,0
hex_3_20,48.82799000000001,2.378749999999997,0.6399999999999999,High,0.0,2.0,0.0,0.35,1.0,1.0,0.0,12.5,0
hex_3_25,48.82799000000001,2.4162499999999962,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_4_8,48.83232000000001,2.2924999999999986,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_4_11,48.83232000000001,2.314999999999998,0.354,Low,0.0,5.0,1.0,0.185,0.8,0.2,0.0,162.5,1
hex_4_12,48.83232000000001,2.322499999999998,0.31666666666666665,Low,0.0,3.0,2.0,0.175,0.6,0.3333333333333333,0.0,174.0,1
hex_4_13,48.83232000000001,2.329999999999998,0.5433333333333333,Medium,0.0,3.0,0.0,0.27499999999999997,1.0,0.6666666666666666,0.0,77.0,0
hex_4_15,48.83232000000001,2.3449999999999975,0.5800000000000001,Medium,0.0,2.0,1.0,0.35,0.8,1.0,0.0,51.0,1
hex_4_16,48.83232000000001,2.3524999999999974,0.37666666666666665,Low,0.0,3.0,1.0,0.175,0.8,0.3333333333333333,0.0,152.0,1
hex_4_17,48.83232000000001,2.359999999999997,0.5800000000000001,Medium,0.0,2.0,1.0,0.35,0.8,1.0,0.0,51.0,1
hex_4_18,48.83232000000001,2.367499999999997,0.39999999999999997,Low,0.0,2.0,4.0,0.35,0.19999999999999996,1.0,0.0,143.0,1
hex_4_19,48.83232000000001,2.374999999999997,0.6266666666666667,High,0.0,6.0,0.0,0.4,1.0,0.8333333333333334,0.0,41.0,0
hex_4_20,48.83232000000001,2.3824999999999967,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_4_21,48.83232000000001,2.3899999999999966,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_4_22,48.83232000000001,2.3974999999999964,0.45,Medium,0.0,1.0,3.0,0.325,0.4,1.0,0.0,120.0,1
hex_4_24,48.83232000000001,2.412499999999996,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_5_5,48.83665000000001,2.2662499999999994,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_5_10,48.83665000000001,2.3037499999999986,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_5_11,48.83665000000001,2.3112499999999985,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_5_12,48.83665000000001,2.3187499999999983,0.35333333333333333,Low,0.0,6.0,1.0,0.19999999999999998,0.8,0.16666666666666666,0.0,164.0,1
hex_5_14,48.83665000000001,2.333749999999998,0.4107954548995535,Medium,3228.0,0.0,1.0,0.3607711651299246,0.8,0.0,0.2648698884758364,141.0,1
hex_5_16,48.83665000000001,2.3487499999999977,0.4833333333333333,Medium,0.0,3.0,1.0,0.27499999999999997,0.8,0.6666666666666666,0.0,103.5,1
hex_5_17,48.83665000000001,2.3562499999999975,0.6399999999999999,High,0.0,2.0,0.0,0.35,1.0,1.0,0.0,12.5,0
hex_5_19,48.83665000000001,2.371249999999997,0.6144444444444445,High,0.0,9.0,1.0,0.49166666666666664,0.8,0.8888888888888888,0.0,42.0,1
hex_5_20,48.83665000000001,2.378749999999997,0.32,Low,0.0,2.0,0.0,0.049999999999999996,1.0,0.0,0.0,169.5,0
hex_5_21,48.83665000000001,2.386249999999997,0.55,Medium,0.0,5.0,2.0,0.425,0.6,1.0,0.0,74.0,1
hex_5_22,48.83665000000001,2.3937499999999967,0.51,Medium,0.0,1.0,2.0,0.325,0.6,1.0,0.0,94.0,1
hex_5_24,48.83665000000001,2.4087499999999964,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_6_3,48.840980000000016,2.2549999999999994,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_6_4,48.840980000000016,2.2624999999999993,0.46,Medium,0.0,2.0,3.0,0.35,0.4,1.0,0.0,116.0,1
hex_6_6,48.840980000000016,2.277499999999999,0.41333333333333333,Medium,0.0,6.0,0.0,0.19999999999999998,1.0,0.16666666666666666,0.0,140.0,0
hex_6_7,48.840980000000016,2.284999999999999,0.542,Medium,0.0,5.0,0.0,0.305,1.0,0.6,0.0,80.5,0
hex_6_9,48.840980000000016,2.2999999999999985,0.5,Medium,0.0,4.0,0.0,0.25,1.0,0.5,0.0,99.5,0
hex_6_12,48.840980000000016,2.322499999999998,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_6_13,48.840980000000016,2.329999999999998,0.5800000000000001,Medium,0.0,2.0,1.0,0.35,0.8,1.0,0.0,51.0,1
hex_6_15,48.840980000000016,2.3449999999999975,0.6000000000000001,High,0.0,4.0,1.0,0.39999999999999997,0.8,1.0,0.0,43.5,1
hex_6_16,48.840980000000016,2.3524999999999974,0.52,Medium,0.0,8.0,3.0,0.5,0.4,1.0,0.0,86.0,1
hex_6_18,48.840980000000016,2.367499999999997,0.48,Medium,0.0,2.0,0.0,0.19999999999999998,1.0,0.5,0.0,110.0,0
hex_6_20,48.840980000000016,2.3824999999999967,0.6462683682094118,High,3193.0,5.0,0.0,0.6018594579491479,1.0,0.4,0.25524585029752583,8.0,0
hex_6_21,48.840980000000016,2.3899999999999966,0.482,Medium,0.0,5.0,1.0,0.305,0.8,0.6,0.0,105.0,1
hex_6_22,48.840980000000016,2.3974999999999964,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_6_23,48.840980000000016,2.4049999999999963,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_6_24,48.840980000000016,2.412499999999996,0.13,Very Low,0.0,1.0,3.0,0.024999999999999998,0.4,0.0,0.0,227.5,1
hex_6_25,48.840980000000016,2.419999999999996,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_7_7,48.84531000000002,2.281249999999999,0.48,Medium,0.0,2.0,0.0,0.19999999999999998,1.0,0.5,0.0,110.0,0
hex_7_8,48.84531000000002,2.288749999999999,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_7_10,48.84531000000002,2.3037499999999986,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_7_11,48.84531000000002,2.3112499999999985,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_7_15,48.84531000000002,2.341249999999998,0.5700000000000001,Medium,0.0,1.0,1.0,0.325,0.8,1.0,0.0,64.0,1
hex_7_16,48.84531000000002,2.3487499999999977,0.486,Medium,0.0,5.0,2.0,0.365,0.6,0.8,0.0,102.0,1
hex_7_19,48.84531000000002,2.371249999999997,0.48,Medium,0.0,2.0,0.0,0.19999999999999998,1.0,0.5,0.0,110.0,0
hex_7_20,48.84531000000002,2.378749999999997,0.704224643755239,High,3579.0,4.0,1.0,0.725,0.8,0.75,0.24224643755238895,1.0,1
hex_7_21,48.84531000000002,2.386249999999997,0.41400000000000003,Medium,0.0,5.0,0.0,0.185,1.0,0.2,0.0,138.5,0
hex_7_22,48.84531000000002,2.3937499999999967,0.6399999999999999,High,0.0,2.0,0.0,0.35,1.0,1.0,0.0,12.5,0
hex_7_24,48.84531000000002,2.4087499999999964,0.48,Medium,0.0,2.0,0.0,0.19999999999999998,1.0,0.5,0.0,110.0,0
hex_8_5,48.84964000000002,2.269999999999999,0.52,Medium,0.0,2.0,2.0,0.35,0.6,1.0,0.0,86.0,1
hex_8_6,48.84964000000002,2.277499999999999,0.32999999999999996,Low,0.0,3.0,0.0,0.075,1.0,0.0,0.0,165.5,0
hex_8_7,48.84964000000002,2.284999999999999,0.36,Low,0.0,2.0,2.0,0.19999999999999998,0.6,0.5,0.0,158.5,1
hex_8_8,48.84964000000002,2.2924999999999986,0.31,Low,0.0,1.0,0.0,0.024999999999999998,1.0,0.0,0.0,187.0,0
hex_8_9,48.84964000000002,2.2999999999999985,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_8_11,48.84964000000002,2.314999999999998,0.63,High,0.0,1.0,0.0,0.325,1.0,1.0,0.0,28.5,0
hex_8_14,48.84964000000002,2.3374999999999977,0.19,Very Low,0.0,1.0,2.0,0.024999999999999998,0.6,0.0,0.0,222.0,1
hex_8_15,48.84964000000002,2.3449999999999975,0.44,Medium,0.0,8.0,1.0,0.3125,0.8,0.375,0.0,122.5,1
