trajectory_id,site_id,site_label,mode,count,direction,lane,timestamp,longitude,latitude,hour,weekday,date,mode_clean,arrondissement,arrondissement_full
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,Autobus et autocars,4,E-O,Voie de circulation générale,2025-04-09 22:00:00+00:00,2.349109,48.858273,22,Wednesday,2025-04-09,Buses,1,75001
10004_1 -> 1,10004,CF0256_88 rue de Rivoli,Trottinettes,4,O-E,Piste cyclable,2025-04-10 00:00:00+00:00,2.349109,48.858273,0,Thursday,2025-04-10,Scooters,1,75001
10004_4 -> 2,10004,CF0256_88 rue de Rivoli,Trottinettes,5,E-O,Coronapiste,2025-04-10 01:00:00+00:00,2.349109,48.858273,1,Thursday,2025-04-10,Scooters,1,75001
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,"Véhicules lourds > 3,5t",8,E-O,Voie de circulation générale,2025-04-10 02:00:00+00:00,2.349109,48.858273,2,Thursday,2025-04-10,Heavy Vehicles,1,75001
10004_4 -> 2,10004,CF0256_88 rue de Rivoli,Vélos,51,E-O,Coronapiste,2025-04-10 04:00:00+00:00,2.349109,48.858273,4,Thursday,2025-04-10,Bikes,1,75001
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,"Véhicules lourds > 3,5t",40,E-O,Voie de circulation générale,2025-04-10 04:00:00+00:00,2.349109,48.858273,4,Thursday,2025-04-10,Heavy Vehicles,1,75001
10004_5 -> 2,10004,CF0256_88 rue de Rivoli,Autobus et autocars,2,E-O,Coronapiste,2025-04-10 05:00:00+00:00,2.349109,48.858273,5,Thursday,2025-04-10,Buses,1,75001
10004_4 -> 2,10004,CF0256_88 rue de Rivoli,Vélos,734,E-O,Coronapiste,2025-04-10 06:00:00+00:00,2.349109,48.858273,6,Thursday,2025-04-10,Bikes,1,75001
10004_2 -> 1,10004,CF0256_88 rue de Rivoli,Trottinettes,2,E-O,Piste cyclable,2025-04-10 07:00:00+00:00,2.349109,48.858273,7,Thursday,2025-04-10,Scooters,1,75001
10004_5 -> 2,10004,CF0256_88 rue de Rivoli,"Véhicules lourds > 3,5t",7,E-O,Coronapiste,2025-04-10 08:00:00+00:00,2.349109,48.858273,8,Thursday,2025-04-10,Heavy Vehicles,1,75001
