latitude,longitude,location_type,arrondissement,commercial_score,format_1m2,format_2m2,traffic_count,zone_name,data_source
48.848934,2.331602,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"42, rue Madame",panels
48.879105,2.348291,Civic Panel,75009.0,1.75,0.0,1.0,0,"31, rue Pierre Semard",panels
48.861114,2.369434,Civic Panel,75011.0,5.5,0.0,1.0,0,"24, rue Saint Sébastien",panels
48.830516,2.319421,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"132, rue d Alésia",panels
48.831051,2.305727,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"4-6, rue du Bessin",panels
48.894694,2.313008,Civic Panel,75017.0,4.5,0.0,1.0,0,"6, avenue de la porte de Clichy",panels
48.884999,2.344249,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"2, rue Ronsard",panels
48.863455,2.373882,Civic Panel,75011.0,5.5,0.0,1.0,0,"1, rue Pihet",panels
48.894071,2.365278,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"35, rue de l Evangile",panels
48.84134,2.349685,Civic Panel,75005.0,2.75,1.0,0.0,0,"97, rue Mouffetard",panels
48.845747,2.323705,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"6, rue Littré",panels
48.819702,2.365939,Civic Panel,75013.0,6.5,0.0,1.0,0,rue Lachelier,panels
48.83154,2.34649,Civic Panel,75013.0,6.5,0.0,1.0,0,"13, rue Vulpian",panels
48.877388,2.403386,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"59/59bis, rue de Romainville",panels
48.841557,2.351354,Civic Panel,75005.0,2.75,1.0,0.0,0,"3, rue de l'Epée de Bois",panels
48.841682,2.307794,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"15, rue des Volontaires",panels
48.882991,2.392785,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"32-34, rue Alsace Lorraine",panels
48.825938,2.30741,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"34-54, avenue Marc Sangnier",panels
48.88998,2.397958,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,Avenue de la Porte de Pantin,panels
