arrondissement,centroid_latitude,centroid_longitude,panel_count,pedestrian_zones,traffic_events,total_traffic,commercial_potential,performance_tier
4.0,48.85548920312189,2.3572141521578223,0.0,33.0,1731.0,75300.0,46.63299906119314,Excellent
2.0,48.868034270063625,2.3439392002784496,0.0,14.0,1433.0,93736.0,42.31767764298094,Excellent
1.0,48.861409076936255,2.3415359162120337,0.0,26.0,992.0,66293.0,35.37696083724355,Very Good
10.0,48.875047280020716,2.3610309127915263,0.0,26.0,801.0,40360.0,26.80534865500053,Good
9.0,48.876804984915196,2.3375037246367696,0.0,24.0,741.0,43121.0,26.321794611334404,Good
75004.0,48.8551405,2.3571281666666666,6.0,0.0,1027.0,50046.0,23.747073309914683,Good
20.0,48.864829298495444,2.397841607146887,0.0,66.0,0.0,0.0,23.099999999999998,Good
13.0,48.830152976886524,2.3641269020991476,0.0,59.0,39.0,939.0,21.238392337992952,Good
19.0,48.88388178121128,2.3845044493498597,0.0,56.0,47.0,4172.0,21.119978525920875,Good
12.0,48.84189394171367,2.389606797732888,0.0,48.0,71.0,7053.0,19.29633220790896,Potential
5.0,48.84639526725391,2.34814305392746,0.0,39.0,158.0,9788.0,17.629673951356285,Potential
18.0,48.890228559019704,2.348663425389667,0.0,50.0,0.0,0.0,17.5,Potential
15.0,48.84375629913382,2.288811793691309,0.0,30.0,95.0,3170.0,12.168683158822544,Potential
11.0,48.85969217767047,2.377827521156116,0.0,31.0,0.0,0.0,10.85,Potential
16.0,48.856130293229505,2.270953377349726,0.0,27.0,0.0,0.0,9.45,Potential
75019.0,48.88338672727273,2.3842375757575756,33.0,0.0,54.0,2482.0,9.379903128503239,Potential
17.0,48.88674470575687,2.3112641636360505,0.0,26.0,0.0,0.0,9.1,Potential
75020.0,48.86387217142857,2.399493828571429,35.0,0.0,0.0,0.0,8.75,Potential
14.0,48.8331229885197,2.319947033929547,0.0,25.0,0.0,0.0,8.75,Potential
7.0,48.860226188529175,2.3144336586804233,0.0,16.0,74.0,9157.0,8.683479206840584,Potential
75014.0,48.829814705882356,2.3218877058823524,17.0,0.0,175.0,7861.0,7.863044227314029,Potential
75013.0,48.82754138461538,2.3621708076923076,26.0,0.0,0.0,0.0,6.5,Potential
75018.0,48.89267625,2.3487279,20.0,0.0,40.0,1313.0,5.696806078326992,Potential
75011.0,48.85808331818182,2.3827755,22.0,0.0,0.0,0.0,5.5,Potential
75012.0,48.8405489,2.3950038000000005,20.0,0.0,0.0,0.0,5.0,Potential
3.0,48.86378227593949,2.3590157423139098,0.0,13.0,0.0,0.0,4.55,Potential
75017.0,48.8888595,2.3093936666666663,18.0,0.0,0.0,0.0,4.5,Potential
75015.0,48.84193613333333,2.2948734,15.0,0.0,11.0,857.0,4.073888089991745,Potential
75016.0,48.850922230769214,2.2666517692307693,13.0,0.0,13.0,436.0,3.4789356781958816,Potential
75001.0,48.863909500000005,2.33734025,4.0,0.0,76.0,6408.0,3.367634075065204,Potential
6.0,48.85260983956316,2.337971044562577,0.0,9.0,0.0,0.0,3.15,Potential
75006.0,48.850563666666666,2.333052916666667,12.0,0.0,1.0,2.0,3.0091989242548376,Potential
75010.0,48.873237399999994,2.3604378,10.0,0.0,25.0,660.0,2.892664068221247,Potential
8.0,48.875204321806514,2.3169632046556865,0.0,8.0,0.0,0.0,2.8,Potential
75005.0,48.843045363636364,2.350580363636363,11.0,0.0,0.0,0.0,2.75,Potential
75009.0,48.877173142857146,2.3422954285714286,7.0,0.0,0.0,0.0,1.75,Potential
75008.0,48.87617716666666,2.314808333333333,6.0,0.0,0.0,0.0,1.5,Potential
75007.0,48.85746066666667,2.3070551666666668,6.0,0.0,0.0,0.0,1.5,Potential
75003.0,48.8626455,2.3557645000000003,2.0,0.0,0.0,0.0,0.5,Potential
75002.0,48.866772,2.3411225,2.0,0.0,0.0,0.0,0.5,Potential
