cluster,center_lat,center_lon,total_weight,total_score,location_count,commercial_score,location_type,priority
0,48.8589956125,2.3649470249999998,240.0,240.0,240,57600.0,Commercial Cluster,HIGH
2,48.855406333333335,2.294321,9.0,9.0,9,81.0,Commercial Cluster,HIGH
1,48.84262471428571,2.2613422857142855,7.0,7.0,7,49.0,Commercial Cluster,MEDIUM
4,48.88744885714285,2.307120857142857,7.0,7.0,7,49.0,Commercial Cluster,MEDIUM
6,48.878963,2.2893512,5.0,5.0,5,25.0,Commercial Cluster,LOW
5,48.87721475,2.31859675,4.0,4.0,4,16.0,Commercial Cluster,LOW
3,48.85226666666667,2.2716213333333335,3.0,3.0,3,9.0,Commercial Cluster,LOW
7,48.863041622789105,2.3620227164860297,1086.0,0.0,543,0.0,Commercial Cluster,LOW
8,48.840760551258114,2.2615759827830937,8.0,0.0,4,0.0,Commercial Cluster,LOW
9,48.84978621022574,2.2825445577706485,102.0,0.0,51,0.0,Commercial Cluster,LOW
10,48.83331636093342,2.3196789207484834,52.0,0.0,26,0.0,Commercial Cluster,LOW
