latitude,longitude,count,arrondissement,mode,heat_intensity
48.858273,2.349109,4,4.0,Autobus et autocars,0.0035460992907801418
48.858273,2.349109,4,4.0,Trottinettes,0.0035460992907801418
48.858273,2.349109,5,4.0,Trottinettes,0.004432624113475178
48.858273,2.349109,8,4.0,"Véhicules lourds > 3,5t",0.0070921985815602835
48.858273,2.349109,51,4.0,Vélos,0.04521276595744681
48.858273,2.349109,40,4.0,"Véhicules lourds > 3,5t",0.03546099290780142
48.858273,2.349109,2,4.0,Autobus et autocars,0.0017730496453900709
48.858273,2.349109,734,4.0,Vélos,0.650709219858156
48.858273,2.349109,2,4.0,Trottinettes,0.0017730496453900709
48.858273,2.349109,7,4.0,"Véhicules lourds > 3,5t",0.0062056737588652485
48.858273,2.349109,7,4.0,Vélos,0.0062056737588652485
48.858273,2.349109,1,4.0,2 roues motorisées,0.0008865248226950354
48.858273,2.349109,3,4.0,Trottinettes,0.0026595744680851063
48.858273,2.349109,1,4.0,Vélos,0.0008865248226950354
48.858273,2.349109,2,4.0,2 roues motorisées,0.0017730496453900709
48.858273,2.349109,47,4.0,2 roues motorisées,0.041666666666666664
48.858273,2.349109,206,4.0,"Véhicules légers < 3,5t",0.18262411347517732
48.858273,2.349109,1,4.0,Vélos,0.0008865248226950354
48.858273,2.349109,5,4.0,Vélos,0.004432624113475178
48.858273,2.349109,11,4.0,Vélos,0.00975177304964539
48.858273,2.349109,54,4.0,2 roues motorisées,0.047872340425531915
48.858273,2.349109,42,4.0,Trottinettes,0.03723404255319149
48.858273,2.349109,5,4.0,Trottinettes,0.004432624113475178
48.858273,2.349109,83,4.0,"Véhicules lourds > 3,5t",0.07358156028368794
48.858273,2.349109,1,4.0,2 roues motorisées,0.0008865248226950354
48.858273,2.349109,9,4.0,"Véhicules lourds > 3,5t",0.007978723404255319
48.858273,2.349109,212,4.0,Vélos,0.1879432624113475
48.858273,2.349109,1,4.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.883513,2.327263,2,9.0,2 roues motorisées,0.0017730496453900709
48.883513,2.327263,5,9.0,2 roues motorisées,0.004432624113475178
48.883513,2.327263,5,9.0,2 roues motorisées,0.004432624113475178
48.883513,2.327263,23,9.0,Trottinettes + vélos,0.020390070921985817
48.883513,2.327263,134,9.0,"Véhicules légers < 3,5t",0.11879432624113476
48.883513,2.327263,18,9.0,Trottinettes + vélos,0.015957446808510637
48.883513,2.327263,13,9.0,Trottinettes + vélos,0.01152482269503546
48.877338,2.365016,38,10.0,Trottinettes + vélos,0.03368794326241135
48.877338,2.365016,5,10.0,2 roues motorisées,0.004432624113475178
48.877338,2.365016,5,10.0,"Véhicules légers < 3,5t",0.004432624113475178
48.877338,2.365016,1,10.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.877338,2.365016,126,10.0,Trottinettes + vélos,0.11170212765957446
48.877338,2.365016,2,10.0,2 roues motorisées,0.0017730496453900709
48.859617,2.344817,8,1.0,2 roues motorisées,0.0070921985815602835
48.859617,2.344817,12,1.0,Vélos,0.010638297872340425
48.859617,2.344817,3,1.0,Autobus et autocars,0.0026595744680851063
48.859617,2.344817,3,1.0,"Véhicules légers < 3,5t",0.0026595744680851063
48.859617,2.344817,14,1.0,Trottinettes,0.012411347517730497
48.859617,2.344817,1,1.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.859617,2.344817,1,1.0,Trottinettes,0.0008865248226950354
48.859617,2.344817,509,1.0,Vélos,0.4512411347517731
48.859617,2.344817,16,1.0,2 roues motorisées,0.014184397163120567
48.859617,2.344817,38,1.0,2 roues motorisées,0.03368794326241135
48.859617,2.344817,121,1.0,Vélos,0.10726950354609929
48.859617,2.344817,408,1.0,Vélos,0.3617021276595745
48.859617,2.344817,1,1.0,"Véhicules légers < 3,5t",0.0008865248226950354
48.859617,2.344817,8,1.0,2 roues motorisées,0.0070921985815602835
48.859617,2.344817,350,1.0,2 roues motorisées,0.3102836879432624
48.859617,2.344817,2,1.0,2 roues motorisées,0.0017730496453900709
48.859617,2.344817,10,1.0,"Véhicules lourds > 3,5t",0.008865248226950355
48.859617,2.344817,6,1.0,Trottinettes,0.005319148936170213
48.859617,2.344817,1,1.0,Vélos,0.0008865248226950354
48.859617,2.344817,31,1.0,Vélos,0.0274822695035461
48.859617,2.344817,1,1.0,"Véhicules légers < 3,5t",0.0008865248226950354
48.859617,2.344817,9,1.0,Trottinettes,0.007978723404255319
48.856949,2.353837,16,75004.0,Trottinettes,0.014184397163120567
48.856949,2.353837,10,75004.0,Vélos,0.008865248226950355
48.856949,2.353837,29,75004.0,Autobus et autocars,0.025709219858156027
48.856949,2.353837,1,75004.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.856949,2.353837,32,75004.0,Autobus et autocars,0.028368794326241134
48.856949,2.353837,2,75004.0,2 roues motorisées,0.0017730496453900709
48.856949,2.353837,7,75004.0,2 roues motorisées,0.0062056737588652485
48.856949,2.353837,2,75004.0,"Véhicules légers < 3,5t",0.0017730496453900709
48.856949,2.353837,10,75004.0,Vélos,0.008865248226950355
48.856949,2.353837,2,75004.0,2 roues motorisées,0.0017730496453900709
48.856949,2.353837,16,75004.0,"Véhicules lourds > 3,5t",0.014184397163120567
48.856949,2.353837,35,75004.0,Vélos,0.03102836879432624
48.856949,2.353837,5,75004.0,Autobus et autocars,0.004432624113475178
48.856949,2.353837,311,75004.0,Vélos,0.27570921985815605
48.856949,2.353837,30,75004.0,Vélos,0.026595744680851064
48.856949,2.353837,1,75004.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.856949,2.353837,3,75004.0,Autobus et autocars,0.0026595744680851063
48.856949,2.353837,26,75004.0,Autobus et autocars,0.02304964539007092
48.856949,2.353837,1,75004.0,Trottinettes,0.0008865248226950354
48.856949,2.353837,100,75004.0,"Véhicules légers < 3,5t",0.08865248226950355
48.8714843,2.3418311,57,2.0,Trottinettes + vélos,0.05053191489361702
48.8714843,2.3418311,4,2.0,2 roues motorisées,0.0035460992907801418
48.8714843,2.3418311,41,2.0,"Véhicules légers < 3,5t",0.03634751773049645
48.8714843,2.3418311,5,2.0,"Véhicules lourds > 3,5t",0.004432624113475178
48.8714843,2.3418311,118,2.0,"Véhicules légers < 3,5t",0.10460992907801418
48.8714843,2.3418311,9,2.0,2 roues motorisées,0.007978723404255319
48.8714843,2.3418311,29,2.0,2 roues motorisées,0.025709219858156027
48.8714843,2.3418311,312,2.0,Trottinettes + vélos,0.2765957446808511
48.8714843,2.3418311,52,2.0,2 roues motorisées,0.04609929078014184
48.8714843,2.341831,33,2.0,2 roues motorisées,0.02925531914893617
48.8714843,2.341831,1,2.0,Trottinettes,0.0008865248226950354
48.8714843,2.341831,2,2.0,Trottinettes,0.0017730496453900709
48.8714843,2.341831,48,2.0,"Véhicules légers < 3,5t",0.0425531914893617
48.8714843,2.341831,6,2.0,Trottinettes,0.005319148936170213
48.8714843,2.341831,1,2.0,2 roues motorisées,0.0008865248226950354
48.8714843,2.341831,128,2.0,Trottinettes,0.11347517730496454
48.8714843,2.341831,55,2.0,Vélos,0.04875886524822695
48.8714843,2.341831,937,2.0,Vélos,0.8306737588652482
48.8714843,2.341831,11,2.0,Autobus et autocars,0.00975177304964539
48.8714843,2.341831,196,2.0,Trottinettes,0.17375886524822695
48.8714843,2.341831,187,2.0,Vélos,0.16578014184397163
48.8714843,2.341831,74,2.0,2 roues motorisées,0.06560283687943262
48.8714843,2.341831,6,2.0,Autobus et autocars,0.005319148936170213
48.8714843,2.341831,487,2.0,"Véhicules légers < 3,5t",0.4317375886524823
48.8714843,2.341831,8,2.0,2 roues motorisées,0.0070921985815602835
48.858628,2.348208,15,4.0,2 roues motorisées,0.013297872340425532
48.858628,2.348208,190,4.0,"Véhicules légers < 3,5t",0.16843971631205673
48.858628,2.348208,7,4.0,Trottinettes,0.0062056737588652485
48.858628,2.348208,37,4.0,2 roues motorisées,0.03280141843971631
48.858628,2.348208,63,4.0,"Véhicules lourds > 3,5t",0.05585106382978723
48.858628,2.348208,1,4.0,Autobus et autocars,0.0008865248226950354
48.858628,2.348208,319,4.0,"Véhicules légers < 3,5t",0.2828014184397163
48.858628,2.348208,801,4.0,Vélos,0.7101063829787234
48.858628,2.348208,50,4.0,"Véhicules lourds > 3,5t",0.044326241134751775
